"DATA No"                         ,"X[mm]"                           ,"N[Ncm]"                          ,"jikuban"                         
       245, 4.099997E+00, 3.440000E+00,    0
       246, 4.116663E+00, 3.390000E+00,    0
       247, 4.133330E+00, 3.370000E+00,    0
       248, 4.149997E+00, 3.340000E+00,    0
       249, 4.166663E+00, 3.370000E+00,    0
       250, 4.183330E+00, 3.320000E+00,    0
       251, 4.199996E+00, 3.440000E+00,    0
       252, 4.216663E+00, 3.570000E+00,    0
       253, 4.233330E+00, 3.440000E+00,    0
       254, 4.249997E+00, 3.470000E+00,    0
       255, 4.266663E+00, 3.520000E+00,    0
       256, 4.283330E+00, 3.420000E+00,    0
       257, 4.299996E+00, 3.390000E+00,    0
       258, 4.316663E+00, 3.520000E+00,    0
       259, 4.333330E+00, 3.390000E+00,    0
       260, 4.349997E+00, 3.420000E+00,    0
       261, 4.366663E+00, 3.470000E+00,    0
       262, 4.383330E+00, 3.420000E+00,    0
       263, 4.399996E+00, 3.420000E+00,    0
       264, 4.416663E+00, 3.390000E+00,    0
       265, 4.433330E+00, 3.370000E+00,    0
       266, 4.449996E+00, 3.390000E+00,    0
       267, 4.466663E+00, 3.470000E+00,    0
       268, 4.483330E+00, 3.370000E+00,    0
       269, 4.499996E+00, 3.440000E+00,    0
       270, 4.516663E+00, 3.470000E+00,    0
       271, 4.533329E+00, 3.390000E+00,    0
       272, 4.549996E+00, 3.390000E+00,    0
       273, 4.566663E+00, 3.620000E+00,    0
       274, 4.583330E+00, 3.640000E+00,    0
       275, 4.599996E+00, 3.570000E+00,    0
       276, 4.616663E+00, 3.540000E+00,    0
       277, 4.633329E+00, 3.490000E+00,    0
       278, 4.649996E+00, 3.440000E+00,    0
       279, 4.666663E+00, 3.440000E+00,    0
       280, 4.683330E+00, 3.490000E+00,    0
       281, 4.699996E+00, 3.470000E+00,    0
       282, 4.716663E+00, 3.470000E+00,    0
       283, 4.733329E+00, 3.370000E+00,    0
       284, 4.749996E+00, 3.440000E+00,    0
       285, 4.766663E+00, 3.490000E+00,    0
       286, 4.783329E+00, 3.390000E+00,    0
       287, 4.799996E+00, 3.490000E+00,    0
       288, 4.816663E+00, 3.620000E+00,    0
       289, 4.833329E+00, 3.570000E+00,    0
       290, 4.849996E+00, 3.490000E+00,    0
       291, 4.866663E+00, 3.520000E+00,    0
       292, 4.883329E+00, 3.420000E+00,    0
       293, 4.899996E+00, 3.490000E+00,    0
       294, 4.916663E+00, 3.540000E+00,    0
       295, 4.933329E+00, 3.520000E+00,    0
       296, 4.949996E+00, 3.520000E+00,    0
       297, 4.966662E+00, 3.440000E+00,    0
       298, 4.983329E+00, 3.420000E+00,    0
       299, 4.999996E+00, 3.440000E+00,    0
       300, 5.016663E+00, 3.440000E+00,    0
       301, 5.033329E+00, 3.270000E+00,    0
       302, 5.049996E+00, 3.390000E+00,    0
       303, 5.066662E+00, 3.440000E+00,    0
       304, 5.083329E+00, 3.340000E+00,    0
       305, 5.099996E+00, 3.390000E+00,    0
       306, 5.116663E+00, 3.520000E+00,    0
       307, 5.133329E+00, 3.470000E+00,    0
       308, 5.149996E+00, 3.440000E+00,    0
       309, 5.166662E+00, 3.540000E+00,    0
       310, 5.183329E+00, 3.520000E+00,    0
       311, 5.199996E+00, 3.420000E+00,    0
       312, 5.216662E+00, 3.390000E+00,    0
       313, 5.233329E+00, 3.420000E+00,    0
       314, 5.249996E+00, 3.420000E+00,    0
       315, 5.266662E+00, 3.390000E+00,    0
       316, 5.283329E+00, 3.320000E+00,    0
       317, 5.299995E+00, 3.390000E+00,    0
       318, 5.316662E+00, 3.490000E+00,    0
       319, 5.333329E+00, 3.440000E+00,    0
       320, 5.349996E+00, 3.520000E+00,    0
       321, 5.366662E+00, 3.590000E+00,    0
       322, 5.383329E+00, 3.520000E+00,    0
       323, 5.399995E+00, 3.520000E+00,    0
       324, 5.416662E+00, 3.740000E+00,    0
       325, 5.433329E+00, 3.690000E+00,    0
       326, 5.449996E+00, 3.640000E+00,    0
       327, 5.466662E+00, 3.570000E+00,    0
       328, 5.483329E+00, 3.470000E+00,    0
       329, 5.499995E+00, 3.490000E+00,    0
       330, 5.516662E+00, 3.490000E+00,    0
       331, 5.533329E+00, 3.390000E+00,    0
       332, 5.549995E+00, 3.520000E+00,    0
       333, 5.566662E+00, 3.520000E+00,    0
       334, 5.583329E+00, 3.420000E+00,    0
       335, 5.599995E+00, 3.470000E+00,    0
       336, 5.616662E+00, 3.540000E+00,    0
       337, 5.633328E+00, 3.420000E+00,    0
       338, 5.649995E+00, 3.470000E+00,    0
       339, 5.666662E+00, 3.690000E+00,    0
       340, 5.683329E+00, 3.640000E+00,    0
       341, 5.699995E+00, 3.570000E+00,    0
       342, 5.716662E+00, 3.640000E+00,    0
       343, 5.733328E+00, 3.670000E+00,    0
       344, 5.749995E+00, 3.570000E+00,    0
       345, 5.766662E+00, 3.540000E+00,    0
       346, 5.783329E+00, 3.540000E+00,    0
       347, 5.799995E+00, 3.570000E+00,    0
       348, 5.816662E+00, 3.540000E+00,    0
       349, 5.833328E+00, 3.440000E+00,    0
       350, 5.849995E+00, 3.540000E+00,    0
       351, 5.866662E+00, 3.540000E+00,    0
       352, 5.883328E+00, 3.490000E+00,    0
       353, 5.899995E+00, 3.470000E+00,    0
       354, 5.916662E+00, 3.570000E+00,    0
       355, 5.933328E+00, 3.520000E+00,    0
       356, 5.949995E+00, 3.470000E+00,    0
       357, 5.966661E+00, 3.540000E+00,    0
       358, 5.983328E+00, 3.490000E+00,    0
       359, 5.999995E+00, 3.570000E+00,    0
       360, 6.016662E+00, 3.570000E+00,    0
       361, 6.033328E+00, 3.570000E+00,    0
       362, 6.049995E+00, 3.570000E+00,    0
       363, 6.066661E+00, 3.540000E+00,    0
       364, 6.083328E+00, 3.470000E+00,    0
       365, 6.099995E+00, 3.570000E+00,    0
       366, 6.116662E+00, 3.570000E+00,    0
       367, 6.133328E+00, 3.370000E+00,    0
       368, 6.149995E+00, 3.440000E+00,    0
       369, 6.166661E+00, 3.620000E+00,    0
       370, 6.183328E+00, 3.590000E+00,    0
       371, 6.199995E+00, 3.720000E+00,    0
       372, 6.216661E+00, 3.890000E+00,    0
       373, 6.233328E+00, 3.690000E+00,    0
       374, 6.249995E+00, 3.640000E+00,    0
       375, 6.266661E+00, 3.640000E+00,    0
       376, 6.283328E+00, 3.670000E+00,    0
       377, 6.299994E+00, 3.690000E+00,    0
       378, 6.316661E+00, 3.740000E+00,    0
       379, 6.333328E+00, 3.620000E+00,    0
       380, 6.349995E+00, 3.670000E+00,    0
       381, 6.366661E+00, 3.670000E+00,    0
       382, 6.383328E+00, 3.590000E+00,    0
       383, 6.399994E+00, 3.640000E+00,    0
       384, 6.416661E+00, 3.620000E+00,    0
       385, 6.433328E+00, 3.570000E+00,    0
       386, 6.449995E+00, 3.520000E+00,    0
       387, 6.466661E+00, 3.690000E+00,    0
       388, 6.483328E+00, 3.620000E+00,    0
       389, 6.499994E+00, 3.540000E+00,    0
       390, 6.516661E+00, 3.620000E+00,    0
       391, 6.533328E+00, 3.640000E+00,    0
       392, 6.549994E+00, 3.590000E+00,    0
       393, 6.566661E+00, 3.640000E+00,    0
       394, 6.583328E+00, 3.590000E+00,    0
       395, 6.599994E+00, 3.620000E+00,    0
       396, 6.616661E+00, 3.640000E+00,    0
       397, 6.633327E+00, 3.440000E+00,    0
       398, 6.649994E+00, 3.640000E+00,    0
       399, 6.666661E+00, 3.670000E+00,    0
       400, 6.683328E+00, 3.520000E+00,    0
       401, 6.699995E+00, 3.520000E+00,    0
       402, 6.716662E+00, 3.640000E+00,    0
       403, 6.733329E+00, 3.520000E+00,    0
       404, 6.749996E+00, 3.520000E+00,    0
       405, 6.766663E+00, 3.640000E+00,    0
       406, 6.783330E+00, 3.570000E+00,    0
       407, 6.799997E+00, 3.570000E+00,    0
       408, 6.816664E+00, 3.570000E+00,    0
       409, 6.833332E+00, 3.540000E+00,    0
       410, 6.849998E+00, 3.590000E+00,    0
       411, 6.866665E+00, 3.620000E+00,    0
